osmid,amenity,name,geometry,access,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,cuisine,source,source:date,description,internet_access,internet_access:fee,level,location,old_name,opening_hours,toilets:wheelchair,addr:housename,phone,website,diet:vegan,diet:vegetarian,contact:facebook,contact:instagram,alt_name,email,payment:cash,smoking,shop,name:en,name:nl,branch,brand,brand:wikidata,takeaway,url,brand:wikipedia,loc_ref,outdoor_seating,changing_table,toilets,food,nodes,building,building:levels,height,layer,name:zh,ref:bag,roof:colour,roof:height,roof:material,roof:shape
6003228330,restaurant,Mojo,POINT (4.9076499 52.3758617),,,Amsterdam,135,1011DL,Oosterdokskade,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6174461487,cafe,Bakers and Roasters,POINT (4.9126142 52.3702029),,,Amsterdam,16,,Kadijksplein,,,,,,,,,,Mo-Su 08:30-16:00,,,,,,,,,,,,,,Bakers and Roasters,,,,,,,,,,,,,,,,,,,,,,,
6872665385,fast_food,Kras Haring,POINT (4.9158758 52.371226),,yes,Amsterdam,89,1018KM,Kattenburgerplein,fish;seafood,,,,,,,,,Tu-Fr 09:00-17:45; Sa 09:00-16:45,,,,https://krasharing.nl,,no,,,,nico@krasharing.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,
7775051521,restaurant,Kilimanjaro,POINT (4.9108152 52.3703276),,,Amsterdam,6,1011VB,Rapenburgerplein,ethiopian,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7775080631,restaurant,A Tavola,POINT (4.9122719 52.3702271),,,Amsterdam,9,1018AC,Kadijksplein,italian,,,,,,,,,Tu-Sa 12:00-20:00,,,+31 20 625 4994,https://www.atavolarestaurant.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7775116996,restaurant,Verena,POINT (4.9110133 52.3704071),,,Amsterdam,2,1011VA,Rapenburgerplein,italian,,,,,,,,,Mo-Su 15:00-23:00,,,+31 20 786 9281,https://www.restaurantverena.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7879970529,restaurant,Kanteen25,POINT (4.9142241 52.3745106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8710712423,cafe,Apollonia,POINT (4.9145157 52.3740965),,,,,,,,,,,,,,,,,,,,http://www.apollonia.rest/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8734925796,pub,Café de Oude Werf,POINT (4.920886 52.3692464),,,Amsterdam,3,1018NA,Oostenburgergracht,,,,,,,,,Eetcafe de Werf,Mo-Su 12:00-20:00,,,,https://www.cafedeoudewerf.nl/,,yes,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,
8815796628,restaurant,Vegan Sushi Bar,POINT (4.9186289 52.3700432),,,Amsterdam,143,1018MX,Wittenburgergracht,sushi,,,,,,,,,"Fr,Sa 12:30-23:00; Su 12:30-22:30; We,Th 17:00-22:00",,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9176789717,restaurant,Restaurant Entrepot,POINT (4.9119695 52.3696319),,,Amsterdam,7-8,1018AD,Entrepotdok,,,,,,,,,,,,,,https://restaurantentrepot.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171994263,cafe,Bar of NEMO Science Center,POINT (4.9123201 52.3741151),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
